Accuracy,AUROC,Sensitivity,Specificity,PPV,NPV,F1-Score
0.7882736156351792,0.8035382699275363,0.7913043478260869,0.7864583333333334,0.6893939393939394,0.8628571428571429,0.7368421052631579
0.7947882736156352,0.8114696557971014,0.7956521739130434,0.7942708333333334,0.6984732824427481,0.8664772727272727,0.7439024390243902
0.8061889250814332,0.8261379076086957,0.7956521739130434,0.8125,0.7176470588235294,0.8690807799442897,0.7546391752577319
0.8127035830618893,0.8483582427536231,0.808695652173913,0.8151041666666666,0.7237354085603113,0.876750700280112,0.7638603696098563
0.8208469055374593,0.8454427083333333,0.808695652173913,0.828125,0.7380952380952381,0.8784530386740331,0.7717842323651453
0.8078175895765473,0.8508435235507247,0.8043478260869565,0.8098958333333334,0.7170542635658915,0.8735955056179775,0.7581967213114754
0.7703583061889251,0.801171875,0.7652173913043478,0.7734375,0.6692015209125475,0.8461538461538461,0.7139959432048681
0.7931596091205212,0.8155966938405796,0.7565217391304347,0.8151041666666666,0.710204081632653,0.8482384823848238,0.7326315789473684
0.8013029315960912,0.8293648097826087,0.7565217391304347,0.828125,0.725,0.8502673796791443,0.7404255319148936
0.7947882736156352,0.8392153532608695,0.7913043478260869,0.796875,0.7,0.864406779661017,0.7428571428571429
0.8127035830618893,0.8416326992753622,0.7956521739130434,0.8229166666666666,0.7290836653386454,0.8705234159779615,0.760914760914761
0.7899022801302932,0.8303102355072465,0.8173913043478261,0.7734375,0.6836363636363636,0.8761061946902655,0.7445544554455445
0.7817589576547231,0.8228091032608695,0.7869565217391304,0.7786458333333334,0.6804511278195489,0.8591954022988506,0.7298387096774194
0.8013029315960912,0.8289062500000001,0.8043478260869565,0.7994791666666666,0.7061068702290076,0.8721590909090909,0.7520325203252033
0.7882736156351792,0.8216542119565217,0.7869565217391304,0.7890625,0.6908396946564885,0.8607954545454546,0.7357723577235772
0.7866449511400652,0.8109601449275363,0.7608695652173914,0.8020833333333334,0.6972111553784861,0.8484848484848485,0.7276507276507277
0.7785016286644951,0.8123528079710145,0.7956521739130434,0.7682291666666666,0.6727941176470589,0.8625730994152047,0.7290836653386454
0.8175895765472313,0.844633152173913,0.8,0.828125,0.736,0.8736263736263736,0.7666666666666667
0.8208469055374593,0.8578577898550726,0.8347826086956521,0.8125,0.7272727272727273,0.8914285714285715,0.7773279352226721
0.8127035830618893,0.8449331974637682,0.7956521739130434,0.8229166666666666,0.7290836653386454,0.8705234159779615,0.760914760914761
0.8110749185667753,0.8416440217391306,0.7695652173913043,0.8359375,0.7375,0.8582887700534759,0.7531914893617021
0.7882736156351792,0.8341825181159421,0.8,0.78125,0.6865671641791045,0.8670520231213873,0.7389558232931727
0.8045602605863192,0.8231204710144927,0.7913043478260869,0.8125,0.7165354330708661,0.8666666666666667,0.7520661157024794
