Name,Agent,State,Notes,User,Tags,Created,Runtime,Sweep,AU,C,MP,config_file,draw_plots_flag,external_set,feature_selection,learning_rate,max_depth,max_iter,max_leaf_nodes,method,metric.goal,metric.name,model_name,name,num_configs,num_features,num_fold,num_folds,oversampling,parameters.C.distribution,parameters.C.max,parameters.C.min,parameters.config_file.distribution,parameters.config_files,parameters.external_set.distribution,parameters.external_sets,parameters.learning_rate.distribution,parameters.learning_rate.max,parameters.learning_rate.min,parameters.max_depth.distribution,parameters.max_depth.max,parameters.max_depth.min,parameters.max_iter.distribution,parameters.max_iter.max,parameters.max_iter.min,parameters.max_leaf_nodes.distribution,parameters.max_leaf_nodes.max,parameters.max_leaf_nodes.min,parameters.model_name.distribution,parameters.model_names,parameters.name.distribution,parameters.names,parameters.num_configs.distribution,parameters.num_configs.max,parameters.num_configs.min,parameters.num_features.distribution,parameters.num_features.max,parameters.num_features.min,parameters.num_folds.distribution,parameters.num_foldss,parameters.penalty.distribution,parameters.penaltys,parameters.random_state.distribution,parameters.random_state.max,parameters.random_state.min,parameters.solver.distribution,parameters.solvers,parameters.sorting_metric.distribution,parameters.sorting_metrics,parameters.tol.distribution,parameters.tol.max,parameters.tol.min,penalty,program,random_state,scaler,solver,sorting_metric,store_predictions,tol,Accuracy,F1 Score (Non PD),F1 Score (PD),Model Name,NPV,Precision/PPV,ROC AUC,Recall/Sensitivity,Specificity
sage-sweep-8768,,finished,-,,,2024-12-07T08:46:53.000Z,51,rdkgmyly,,,,,,superPARK,,0.033942499912904,15,,18,,,,HistGradientBoosting,,,19,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7138,,,pvalue,,,76.08,80.21,69.76,HistGradientBoosting,81.94,67.58,79.0,72.08,78.55
fanciful-sweep-756,,finished,-,,,2024-12-06T23:33:59.000Z,39,rdkgmyly,,,,,,superPARK,,0.0923174449334875,72,,40,,,,HistGradientBoosting,,,21,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5879,,,pvalue,,,76.08,80.11,70.0,HistGradientBoosting,82.29,67.31,80.45,72.92,78.04
winter-sweep-12152,,finished,-,,,2024-12-07T12:32:54.000Z,44,rdkgmyly,,,,,,superPARK,,0.1226790361121308,84,,5,,,,HistGradientBoosting,,,35,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3534,,,pvalue,,,76.08,80.47,69.14,HistGradientBoosting,81.1,68.29,78.17,70.0,79.84
robust-sweep-9613,,finished,-,,,2024-12-07T09:44:01.000Z,52,rdkgmyly,,,,,,superPARK,,0.0246604390970896,22,,18,,,,HistGradientBoosting,,,38,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,686,,,pvalue,,,76.08,80.0,70.24,HistGradientBoosting,82.64,67.05,80.59,73.75,77.52
driven-sweep-6274,,finished,-,,,2024-12-07T06:02:15.000Z,97,rdkgmyly,,,,,,superPARK,,0.0759747667518242,28,,41,,,,HistGradientBoosting,,,13,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5807,,,coeff,,,76.08,81.11,67.39,HistGradientBoosting,79.12,70.45,80.64,64.58,83.2
sweepy-sweep-8835,,finished,-,,,2024-12-07T08:51:38.000Z,79,rdkgmyly,,,,,,superPARK,,0.0897188706846086,30,,30,,,,HistGradientBoosting,,,35,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7695,,,coeff,,,76.08,80.26,69.64,HistGradientBoosting,81.77,67.72,79.79,71.67,78.81
electric-sweep-10508,,finished,-,,,2024-12-07T10:43:47.000Z,91,rdkgmyly,,,,,,superPARK,,0.1806470913945488,87,,32,,,,HistGradientBoosting,,,31,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1224,,,pvalue,,,76.08,80.31,69.51,HistGradientBoosting,81.6,67.86,79.33,71.25,79.07
efficient-sweep-7166,,finished,-,,,2024-12-07T07:02:24.000Z,87,rdkgmyly,,,,,,superPARK,,0.2664084200247494,46,,40,,,,HistGradientBoosting,,,31,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169,,,pvalue,,,76.08,80.57,68.88,HistGradientBoosting,80.78,68.6,79.78,69.17,80.36
bumbling-sweep-5536,,finished,-,,,2024-12-07T05:14:00.000Z,67,rdkgmyly,,,,,,superPARK,,0.0672768891222425,70,,19,,,,HistGradientBoosting,,,38,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7455,,,pvalue,,,76.08,80.82,68.22,HistGradientBoosting,80.0,69.4,79.3,67.08,81.65
woven-sweep-11124,,finished,-,,,2024-12-07T11:24:19.000Z,52,rdkgmyly,,,,,,superPARK,,0.9227323386627652,26,,36,,,,HistGradientBoosting,,,34,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6231,,,pvalue,,,76.08,81.3,66.81,HistGradientBoosting,78.55,71.23,79.39,62.92,84.24
frosty-sweep-6477,,finished,-,,,2024-12-07T06:15:32.000Z,81,rdkgmyly,,,,,,superPARK,,0.0269950475326583,40,,28,,,,HistGradientBoosting,,,38,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,628,,,pvalue,,,76.08,79.95,70.36,HistGradientBoosting,82.83,66.92,79.34,74.17,77.26
dulcet-sweep-2225,,finished,-,,,2024-12-07T01:22:09.000Z,92,rdkgmyly,,,,,,superPARK,,0.2777069580752171,16,,34,,,,HistGradientBoosting,,,21,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1490,,,pvalue,,,76.08,80.96,67.81,HistGradientBoosting,79.55,69.91,79.34,65.83,82.43
wobbly-sweep-3457,,finished,-,,,2024-12-07T02:53:11.000Z,84,rdkgmyly,,,,,,superPARK,,0.3314417705503996,74,,27,,,,HistGradientBoosting,,,33,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6983,,,pvalue,,,76.08,80.37,69.39,HistGradientBoosting,81.43,68.0,79.83,70.83,79.33
amber-sweep-5011,,finished,-,,,2024-12-07T04:40:32.000Z,78,rdkgmyly,,,,,,superPARK,,0.0993175843445539,39,,24,,,,HistGradientBoosting,,,35,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2506,,,pvalue,,,76.08,79.84,70.59,HistGradientBoosting,83.19,66.67,78.82,75.0,76.74
vibrant-sweep-14149,,finished,-,,,2024-12-07T14:46:17.000Z,36,rdkgmyly,,,,,,superPARK,,0.0953954208044893,64,,8,,,,HistGradientBoosting,,,29,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,533,,,pvalue,,,76.08,79.56,71.15,HistGradientBoosting,84.15,66.07,78.66,77.08,75.45
good-sweep-414,,finished,-,,,2024-12-06T21:41:12.000Z,57,rdkgmyly,,,,,,superPARK,,0.0396897239525636,36,,8,,,,HistGradientBoosting,,,33,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4898,,,pvalue,,,76.08,79.51,71.26,HistGradientBoosting,84.35,65.96,80.68,77.5,75.19
pretty-sweep-12417,,finished,-,,,2024-12-07T12:50:19.000Z,62,rdkgmyly,,,,,,superPARK,,0.0659108285270857,61,,22,,,,HistGradientBoosting,,,29,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7680,,,pvalue,,,76.08,80.47,69.14,HistGradientBoosting,81.1,68.29,80.67,70.0,79.84
